individual_id,university_attended,income
246,elite university,42574
247,elite university,120575
248,non-elite university,50173
249,elite university,63629
250,elite university,53107
251,elite university,54846
252,elite university,143624
253,elite university,104152
254,elite university,83091
255,elite university,83927
256,non-elite university,46092
257,non-elite university,93912
258,non-elite university,67691
259,elite university,105025
260,non-elite university,70271
261,elite university,87025
262,non-elite university,128527
263,elite university,45762
264,non-elite university,40543
265,elite university,62023
266,non-elite university,97842
267,elite university,129126
268,non-elite university,90673
269,elite university,89794
270,non-elite university,47354
271,elite university,86831
272,elite university,40305
273,non-elite university,52706
274,non-elite university,60361
275,non-elite university,24655
276,non-elite university,53172
277,non-elite university,84674
278,elite university,52776
279,non-elite university,29898
280,non-elite university,50288
281,elite university,32738
282,non-elite university,64543
283,elite university,112587
284,non-elite university,31502
285,non-elite university,174456
286,elite university,27069
287,non-elite university,95647
288,elite university,31452
289,elite university,87194
290,non-elite university,81080
291,elite university,119115
292,non-elite university,47314
293,non-elite university,85824
294,non-elite university,45628
295,elite university,38193
296,elite university,98688
297,non-elite university,50089
298,non-elite university,51925
299,elite university,66262
300,elite university,133309
301,elite university,117144
302,elite university,43303
303,elite university,99033
304,non-elite university,39319
305,non-elite university,65257
306,non-elite university,33943
307,elite university,56180
308,non-elite university,49321
309,elite university,57007
310,non-elite university,72124
311,elite university,43195
312,elite university,79881
313,elite university,30031
314,elite university,56993
315,elite university,100657
316,non-elite university,72667
317,elite university,98690
318,elite university,41683
319,non-elite university,52230
320,non-elite university,43627
321,elite university,56179
322,non-elite university,61046
323,elite university,83710
324,non-elite university,37893
325,non-elite university,67828
326,non-elite university,47398
327,non-elite university,57477
328,non-elite university,45710
329,non-elite university,47347
330,non-elite university,47949
331,elite university,51717
332,elite university,73689
333,non-elite university,39936
334,non-elite university,60033
335,non-elite university,42041
336,elite university,85099
337,elite university,39224
338,elite university,51746
339,elite university,96804
340,elite university,94216
341,elite university,77152
342,elite university,66371
343,non-elite university,91228
344,non-elite university,44482
345,elite university,86699
346,elite university,86283
347,non-elite university,71540
348,non-elite university,108247
349,elite university,49378
350,elite university,42838
351,non-elite university,44495
352,elite university,67414
353,elite university,86961
354,elite university,64661
355,elite university,59263
356,non-elite university,48613
357,non-elite university,47200
358,non-elite university,106989
359,non-elite university,35192
360,non-elite university,70170
361,elite university,57588
362,non-elite university,48355
363,non-elite university,69191
364,non-elite university,76842
365,elite university,50989
366,non-elite university,48828
367,non-elite university,96403
368,elite university,64368
369,elite university,56775
370,non-elite university,120534
371,elite university,88227
372,non-elite university,62917
373,non-elite university,83216
374,non-elite university,54128
375,elite university,78019
376,non-elite university,27249
377,non-elite university,40723
378,non-elite university,99686
379,elite university,51268
380,non-elite university,63855
381,non-elite university,93603
382,non-elite university,48535
383,non-elite university,42158
384,non-elite university,93914
385,non-elite university,69364
386,elite university,91689
387,non-elite university,73353
388,elite university,80544
389,elite university,79305
390,elite university,75254
391,elite university,66232
392,non-elite university,73587
393,elite university,123528
394,non-elite university,47776
395,elite university,45037
396,non-elite university,71190
397,non-elite university,104469
398,elite university,57791
399,elite university,73841
400,elite university,37413
401,elite university,45632
402,non-elite university,49529
403,non-elite university,75994
404,elite university,94418
405,elite university,43459
406,elite university,101752
407,non-elite university,53591
408,elite university,54592
409,non-elite university,71719
410,elite university,75443
411,non-elite university,39612
412,non-elite university,48609
413,non-elite university,49994
414,elite university,67325
415,elite university,72880
416,non-elite university,62530
417,elite university,56078
418,elite university,56002
419,non-elite university,75753
420,elite university,54455
421,elite university,78980
422,non-elite university,101771
423,non-elite university,83821
424,non-elite university,87051
425,non-elite university,62773
426,elite university,61349
427,elite university,66724
428,elite university,65248
429,non-elite university,70259
430,elite university,64841
431,non-elite university,127687
432,non-elite university,51609
433,elite university,98654
434,non-elite university,31386
435,elite university,58854
436,elite university,97634
437,non-elite university,77573
438,elite university,74814
439,elite university,54500
440,elite university,54760
441,elite university,56781
442,non-elite university,65576
443,elite university,65767
444,elite university,56250
445,elite university,118955
446,elite university,59717
447,non-elite university,37087
448,non-elite university,80166
449,elite university,63772
450,non-elite university,36747
451,elite university,56936
452,elite university,89528
453,elite university,89557
454,elite university,60084
455,non-elite university,60478
456,elite university,33707
457,non-elite university,50485
458,elite university,60033
459,elite university,34530
460,elite university,83363
461,non-elite university,70898
462,elite university,80515
463,elite university,57586
464,elite university,47755
465,non-elite university,33464
466,elite university,98123
467,elite university,90488
468,non-elite university,115057
469,elite university,71137
470,non-elite university,42575
471,elite university,104384
472,non-elite university,42389
473,non-elite university,70355
474,elite university,33501
475,non-elite university,78884
476,non-elite university,80670
477,elite university,87691
478,elite university,57791
479,non-elite university,44416
480,elite university,93821
481,non-elite university,43582
482,elite university,66827
483,non-elite university,65068
484,elite university,79942
485,elite university,112751
486,non-elite university,75694
487,non-elite university,80297
488,non-elite university,22027
489,elite university,81506
490,elite university,50735
491,non-elite university,32867
492,non-elite university,53647
493,non-elite university,55303
494,non-elite university,123667
495,non-elite university,65830
496,elite university,116717
497,non-elite university,32966
498,elite university,29048
499,elite university,94012
500,non-elite university,56104
501,non-elite university,35707
502,non-elite university,86378
503,non-elite university,88621
504,elite university,45958
505,elite university,54759
506,non-elite university,130941
507,elite university,56964
508,elite university,79530
509,elite university,153608
510,non-elite university,58123
511,elite university,65991
512,elite university,99542
513,elite university,154668
514,elite university,54461
515,elite university,43834
516,elite university,51762
517,non-elite university,92461
518,elite university,38318
519,elite university,86296
520,elite university,90083
521,elite university,60922
522,non-elite university,73271
523,elite university,52320
524,elite university,57444
525,elite university,30144
526,elite university,63722
527,elite university,34520
528,elite university,64295
529,non-elite university,45636
530,elite university,84404
531,non-elite university,39853
532,elite university,54846
533,non-elite university,61972
534,elite university,53901
535,non-elite university,53567
536,non-elite university,41153
537,non-elite university,77688
538,elite university,45132
539,non-elite university,97177
540,elite university,68313
541,elite university,96172
542,non-elite university,58640
543,elite university,60309
544,non-elite university,43650
545,non-elite university,51366
546,elite university,59549
547,elite university,70460
548,elite university,68147
549,elite university,41141
550,elite university,52617
551,non-elite university,71241
552,non-elite university,71508
553,non-elite university,84562
554,elite university,65301
555,elite university,55702
556,elite university,81041
557,elite university,69793
558,non-elite university,30685
559,non-elite university,63151
560,elite university,41824
561,elite university,69969
562,non-elite university,67465
563,elite university,57389
564,non-elite university,69594
565,non-elite university,54428
566,elite university,113438
567,elite university,58602
568,elite university,93238
569,elite university,63951
570,elite university,90076
571,non-elite university,63744
572,non-elite university,69785
573,elite university,86667
574,elite university,108518
575,non-elite university,83948
576,non-elite university,47345
577,non-elite university,76800
578,elite university,48572
579,elite university,49030
580,elite university,57979
581,non-elite university,60822
582,elite university,61895
583,non-elite university,51959
584,non-elite university,100437
585,non-elite university,73869
586,non-elite university,43720
587,elite university,95469
588,elite university,79899
589,non-elite university,102573
590,elite university,76772
591,elite university,125502
592,non-elite university,44364
593,non-elite university,52908
594,elite university,49794
595,non-elite university,44906
596,non-elite university,60901
597,elite university,61839
598,elite university,123675
599,non-elite university,80913
600,non-elite university,70454
601,elite university,78756
602,elite university,84866
603,non-elite university,34409
604,elite university,63251
605,elite university,94710
606,elite university,55279
607,elite university,63710
608,elite university,79405
609,elite university,38062
610,elite university,72042
611,non-elite university,63386
612,non-elite university,63652
613,non-elite university,41365
614,non-elite university,72935
615,non-elite university,63494
616,non-elite university,57218
617,non-elite university,43982
618,elite university,72683
619,non-elite university,120856
620,elite university,70577
621,elite university,70748
622,non-elite university,53433
623,non-elite university,28552
624,elite university,36980
625,elite university,53853
626,elite university,35500
627,non-elite university,34461
628,non-elite university,50652
629,non-elite university,112936
630,non-elite university,64615
631,non-elite university,45348
632,elite university,52137
633,non-elite university,141639
634,elite university,61882
635,elite university,90489
636,non-elite university,60102
637,non-elite university,55972
638,non-elite university,140973
639,non-elite university,64850
640,elite university,82485
641,elite university,66914
642,elite university,47497
643,non-elite university,61133
644,elite university,169445
645,non-elite university,41304
646,non-elite university,55386
647,elite university,86965
648,elite university,135514
649,non-elite university,59527
650,non-elite university,68819
651,non-elite university,78722
652,non-elite university,83104
653,elite university,50259
654,elite university,63491
655,elite university,43176
656,elite university,31956
657,non-elite university,63899
658,elite university,84757
659,elite university,64739
660,elite university,116804
661,non-elite university,70019
662,elite university,45847
663,elite university,66929
664,elite university,85478
665,non-elite university,42567
666,non-elite university,55476
667,elite university,54168
668,non-elite university,70419
669,elite university,82259
670,elite university,80503
671,elite university,85321
672,non-elite university,40756
673,elite university,98680
674,non-elite university,27802
675,non-elite university,37687
676,elite university,55216
677,non-elite university,56824
678,elite university,45654
679,non-elite university,48508
680,non-elite university,54832
681,elite university,47875
682,elite university,39207
683,elite university,85638
684,non-elite university,60846
685,non-elite university,75702
686,non-elite university,52406
687,elite university,89450
688,elite university,121785
689,non-elite university,70549
690,elite university,74028
691,elite university,38377
692,elite university,79684
693,elite university,36941
694,non-elite university,55227
695,non-elite university,68783
696,elite university,66858
697,elite university,80147
698,elite university,83462
699,elite university,51283
700,non-elite university,40360
701,non-elite university,43937
702,non-elite university,40884
703,non-elite university,104319
704,non-elite university,75643
705,non-elite university,49481
706,non-elite university,124724
707,elite university,67261
708,non-elite university,60162
709,non-elite university,98867
710,non-elite university,60724
711,elite university,93853
712,elite university,60163
713,non-elite university,113755
714,non-elite university,100627
715,non-elite university,63721
716,elite university,93163
717,elite university,52043
718,non-elite university,74347
719,non-elite university,48768
720,non-elite university,43215
721,elite university,89928
722,elite university,90607
723,elite university,83356
724,non-elite university,74557
725,non-elite university,70500
726,elite university,68303
727,non-elite university,35633
728,elite university,59505
729,non-elite university,51743
730,elite university,58665
731,elite university,59592
732,non-elite university,53388
733,elite university,97398
734,elite university,116274
735,non-elite university,46129
736,non-elite university,61072
737,non-elite university,105027
738,elite university,82130
739,non-elite university,51832
740,elite university,64409
741,elite university,67181
742,non-elite university,45512
743,elite university,64091
744,elite university,71916
745,elite university,79965
746,elite university,81788
747,non-elite university,56199
748,non-elite university,61900
749,non-elite university,83624
750,non-elite university,72118
751,non-elite university,53113
752,elite university,111791
753,non-elite university,63734
754,non-elite university,64427
755,elite university,97570
756,elite university,151721
757,non-elite university,59379
758,non-elite university,73646
759,elite university,58118
760,non-elite university,61499
761,non-elite university,24669
762,elite university,94359
763,non-elite university,49644
764,non-elite university,60685
765,elite university,74005
766,elite university,90420
767,elite university,53616
768,non-elite university,38676
769,non-elite university,49724
770,non-elite university,76372
771,non-elite university,71294
772,elite university,54426
773,elite university,85031
774,elite university,80684
775,elite university,34079
776,elite university,82473
777,non-elite university,69070
778,non-elite university,46216
779,elite university,63777
780,non-elite university,70896
781,elite university,76772
782,non-elite university,43512
783,elite university,52535
784,non-elite university,71001
785,non-elite university,52389
786,non-elite university,103804
787,elite university,64792
788,elite university,117845
789,elite university,53582
790,elite university,73426
791,non-elite university,33825
792,non-elite university,36882
793,non-elite university,26415
794,elite university,103078
795,elite university,74905
796,non-elite university,51085
797,elite university,59525
798,elite university,73176
799,elite university,62867
800,elite university,64768
801,non-elite university,81353
802,non-elite university,61667
803,non-elite university,111321
804,non-elite university,52499
805,elite university,64094
806,non-elite university,57762
807,elite university,123497
808,elite university,72626
809,non-elite university,74547
810,non-elite university,41817
811,non-elite university,39360
812,non-elite university,52844
813,non-elite university,85640
814,non-elite university,58049
815,non-elite university,113787
816,non-elite university,58854
817,elite university,100184
818,elite university,122875
819,elite university,37176
820,elite university,86237
821,elite university,149673
822,elite university,96385
823,elite university,40277
824,non-elite university,53494
825,non-elite university,51315
826,elite university,97580
827,non-elite university,61274
828,elite university,41420
829,elite university,50588
830,elite university,56291
831,elite university,76542
832,elite university,64931
833,elite university,41867
834,non-elite university,59919
835,non-elite university,35629
836,elite university,50481
837,non-elite university,37028
838,elite university,78621
839,non-elite university,116867
840,elite university,124751
841,non-elite university,28548
842,elite university,62452
843,elite university,94778
844,non-elite university,57660
845,elite university,61625
846,non-elite university,98109
847,non-elite university,71070
848,elite university,112352
849,elite university,54283
850,non-elite university,80663
851,elite university,95300
852,non-elite university,76711
853,elite university,49745
854,non-elite university,48288
855,elite university,86797
856,non-elite university,59481
857,non-elite university,34659
858,non-elite university,48295
859,elite university,66587
860,elite university,81238
861,non-elite university,70768
862,non-elite university,50107
863,elite university,80670
864,non-elite university,63929
865,elite university,63840
866,elite university,65755
867,non-elite university,67395
868,non-elite university,64591
869,elite university,82740
870,non-elite university,38318
871,non-elite university,79766
872,elite university,92258
873,elite university,58127
874,non-elite university,52912
875,elite university,67127
876,elite university,59159
877,non-elite university,39675
878,non-elite university,57163
879,elite university,114105
880,non-elite university,46840
881,elite university,61598
882,non-elite university,111654
883,non-elite university,57906
884,elite university,78359
885,non-elite university,60356
886,elite university,47885
887,elite university,76022
888,elite university,40125
889,elite university,47276
890,elite university,54139
891,non-elite university,83215
892,elite university,159780
893,non-elite university,41116
894,elite university,48784
895,elite university,66845
896,elite university,91803
897,elite university,35818
898,elite university,81268
899,elite university,90120
900,non-elite university,36802
901,non-elite university,82322
902,elite university,73199
903,elite university,68429
904,elite university,101804
905,elite university,47807
906,non-elite university,63997
907,elite university,64848
908,elite university,90572
909,non-elite university,76095
910,non-elite university,100802
911,non-elite university,38268
912,non-elite university,50317
913,non-elite university,49340
914,elite university,42380
915,elite university,47512
916,non-elite university,74869
917,elite university,49131
918,elite university,90650
919,non-elite university,57130
920,non-elite university,77879
921,non-elite university,65087
922,non-elite university,51339
923,non-elite university,37071
924,non-elite university,38755
925,non-elite university,58614
926,non-elite university,85292
927,elite university,89921
928,elite university,41740
929,non-elite university,78794
930,non-elite university,95241
931,elite university,56326
932,non-elite university,91718
933,non-elite university,92635
934,elite university,122389
935,elite university,48721
936,elite university,57197
937,non-elite university,65448
938,non-elite university,96398
939,non-elite university,55515
940,elite university,81114
941,elite university,39962
942,non-elite university,65881
943,non-elite university,83658
944,elite university,95220
945,non-elite university,76738
946,non-elite university,49110
947,elite university,71656
948,non-elite university,36567
949,non-elite university,49060
950,non-elite university,45427
951,non-elite university,69013
952,elite university,64804
953,non-elite university,53465
954,elite university,141392
955,non-elite university,56260
956,elite university,87366
957,non-elite university,173975
958,non-elite university,58997
959,elite university,48120
960,elite university,75411
961,elite university,45925
962,non-elite university,55746
963,non-elite university,60221
964,elite university,129558
965,elite university,96671
966,elite university,40133
967,non-elite university,58801
968,non-elite university,79264
969,non-elite university,93989
970,non-elite university,36960
971,non-elite university,37493
972,elite university,56589
973,non-elite university,39520
974,non-elite university,68784
975,non-elite university,67311
976,elite university,128192
977,non-elite university,33132
978,elite university,95738
979,elite university,58010
980,elite university,104926
981,elite university,39906
982,non-elite university,50706
983,elite university,63663
984,elite university,46425
985,elite university,61167
986,elite university,90720
987,non-elite university,84082
988,non-elite university,52657
989,non-elite university,73408
990,elite university,33573
991,elite university,91802
992,elite university,52878
993,non-elite university,71296
994,elite university,39290
995,non-elite university,31546
996,non-elite university,71186
997,non-elite university,118750
998,non-elite university,72924
999,elite university,55423
1000,elite university,64688
1001,non-elite university,94274
1002,non-elite university,59353
1003,elite university,81509
1004,non-elite university,49697
1005,non-elite university,145260
1006,elite university,42453
1007,elite university,99105
1008,non-elite university,55336
1009,non-elite university,49991
1010,elite university,78128
1011,elite university,99422
1012,non-elite university,82034
1013,non-elite university,115976
1014,non-elite university,66530
1015,non-elite university,117573
1016,non-elite university,73387
1017,elite university,41507
1018,elite university,50406
1019,non-elite university,77318
1020,non-elite university,89471
1021,elite university,111198
1022,non-elite university,95622
1023,elite university,140284
1024,non-elite university,80703
1025,non-elite university,56714
1026,non-elite university,56490
1027,elite university,69435
1028,non-elite university,63439
1029,non-elite university,95017
1030,elite university,88141
1031,non-elite university,36722
1032,non-elite university,20972
1033,elite university,51429
1034,elite university,78007
1035,elite university,72288
1036,elite university,63656
1037,elite university,104830
1038,elite university,150813
1039,non-elite university,49106
1040,elite university,97222
1041,non-elite university,54692
1042,elite university,62934
1043,elite university,83466
1044,non-elite university,91203
1045,elite university,66434
1046,non-elite university,44121
1047,non-elite university,100620
1048,non-elite university,88254
1049,non-elite university,68219
1050,elite university,134383
1051,elite university,38394
1052,elite university,54110
1053,elite university,73377
1054,elite university,72301
1055,elite university,65172
1056,elite university,44920
1057,non-elite university,56412
1058,elite university,86177
1059,elite university,63585
1060,non-elite university,65372
1061,non-elite university,43428
1062,non-elite university,62610
1063,non-elite university,50693
1064,non-elite university,51438
1065,elite university,46660
1066,non-elite university,74279
1067,non-elite university,68021
1068,elite university,59009
1069,non-elite university,57272
1070,elite university,57349
1071,elite university,93128
1072,elite university,66004
1073,elite university,55470
1074,non-elite university,64462
1075,non-elite university,70249
1076,elite university,53017
1077,non-elite university,45674
1078,non-elite university,39393
1079,non-elite university,60347
1080,non-elite university,58094
1081,non-elite university,74970
1082,elite university,64463
1083,elite university,85881
1084,elite university,66877
1085,elite university,70674
1086,non-elite university,67389
1087,non-elite university,60412
1088,non-elite university,145904
1089,elite university,91554
1090,elite university,55623
1091,non-elite university,48187
1092,elite university,91945
1093,non-elite university,46757
1094,non-elite university,59012
1095,elite university,114097
1096,elite university,37991
1097,elite university,55014
1098,non-elite university,57984
1099,non-elite university,51920
1100,elite university,93617
1101,non-elite university,58342
1102,non-elite university,65538
1103,elite university,33896
1104,elite university,66949
1105,non-elite university,52087
1106,elite university,61067
1107,elite university,80550
1108,elite university,66876
1109,elite university,75612
1110,elite university,51032
1111,non-elite university,72481
1112,non-elite university,43122
1113,non-elite university,52194
1114,non-elite university,45593
1115,elite university,53878
1116,non-elite university,46585
1117,non-elite university,61991
1118,non-elite university,79943
1119,non-elite university,130031
1120,non-elite university,36319
1121,non-elite university,69334
1122,non-elite university,59053
1123,elite university,74045
1124,non-elite university,77754
1125,non-elite university,72570
1126,elite university,93525
1127,non-elite university,49509
1128,elite university,105747
1129,elite university,134037
1130,non-elite university,35036
1131,elite university,42624
1132,non-elite university,120013
1133,non-elite university,51005
1134,non-elite university,47312
1135,elite university,91637
1136,elite university,75756
1137,non-elite university,77600
1138,non-elite university,62327
1139,elite university,80731
1140,elite university,51359
1141,non-elite university,51184
1142,non-elite university,26845
1143,elite university,62335
1144,elite university,68770
1145,elite university,83737
1146,non-elite university,56797
1147,non-elite university,132221
1148,non-elite university,56534
1149,non-elite university,101362
1150,elite university,81968
1151,non-elite university,66226
1152,non-elite university,56240
1153,elite university,94016
1154,non-elite university,78649
1155,non-elite university,66887
1156,elite university,87700
1157,non-elite university,68578
1158,elite university,61582
1159,non-elite university,40068
1160,non-elite university,48170
1161,non-elite university,94200
1162,non-elite university,49966
1163,elite university,51255
1164,elite university,105937
1165,non-elite university,68083
1166,non-elite university,37039
1167,non-elite university,42587
1168,elite university,122335
1169,non-elite university,63066
1170,non-elite university,44642
1171,non-elite university,63315
1172,elite university,72839
1173,non-elite university,61044
1174,elite university,82866
1175,elite university,72096
1176,elite university,111563
1177,elite university,68687
1178,non-elite university,39255
1179,non-elite university,47819
1180,elite university,59520
1181,elite university,63388
1182,elite university,118470
1183,elite university,106608
1184,elite university,74678
1185,non-elite university,82996
1186,non-elite university,198138
1187,non-elite university,65489
1188,non-elite university,41739
1189,non-elite university,52410
1190,elite university,69392
1191,non-elite university,77262
1192,non-elite university,64798
1193,elite university,91868
1194,non-elite university,58620
1195,elite university,118299
1196,elite university,129681
1197,elite university,55876
1198,non-elite university,69833
1199,non-elite university,56313
1200,elite university,39493
1201,elite university,58825
1202,non-elite university,82000
1203,non-elite university,57668
1204,elite university,95923
1205,elite university,46315
1206,elite university,68390
1207,non-elite university,33630
1208,non-elite university,48185
1209,non-elite university,93197
1210,non-elite university,93217
1211,elite university,72669
1212,elite university,65623
1213,non-elite university,52322
1214,elite university,55445
1215,elite university,49613
1216,non-elite university,61480
1217,non-elite university,73661
1218,non-elite university,102309
1219,non-elite university,92253
1220,non-elite university,66572
1221,non-elite university,35269
1222,non-elite university,32097
1223,elite university,79956
1224,non-elite university,45542
1225,non-elite university,109545
1226,non-elite university,51553
1227,non-elite university,76707
1228,elite university,76220
1229,non-elite university,29493
1230,non-elite university,76741
1231,elite university,77767
1232,elite university,81327
1233,elite university,76975
1234,non-elite university,61241
1235,elite university,47298
1236,non-elite university,34963
1237,non-elite university,39120
1238,elite university,99419
1239,elite university,70908
1240,non-elite university,54006
1241,elite university,107072
1242,elite university,121814
1243,elite university,105001
1244,non-elite university,94181
1245,elite university,51967
1246,non-elite university,40711
1247,elite university,61362
1248,non-elite university,33541
1249,elite university,98336
1250,elite university,60934
1251,non-elite university,40531
1252,elite university,104292
1253,non-elite university,93227
1254,non-elite university,58436
1255,non-elite university,70147
1256,elite university,45457
1257,non-elite university,57178
1258,elite university,99187
1259,elite university,106607
1260,non-elite university,81048
1261,non-elite university,60424
1262,elite university,77889
1263,non-elite university,61873
1264,non-elite university,48178
1265,elite university,98688
1266,non-elite university,68747
1267,elite university,51785
1268,elite university,65580
1269,elite university,36966
1270,elite university,56207
1271,non-elite university,51189
1272,elite university,57470
1273,elite university,64934
1274,elite university,50788
1275,non-elite university,34584
1276,non-elite university,57967
1277,elite university,101423
1278,elite university,60649
1279,non-elite university,83792
1280,elite university,40881
1281,non-elite university,101762
1282,non-elite university,64748
1283,elite university,58418
1284,non-elite university,54398
1285,non-elite university,38675
1286,elite university,39410
1287,non-elite university,55801
1288,non-elite university,41410
1289,elite university,62767
1290,non-elite university,73695
1291,elite university,52992
1292,non-elite university,100615
1293,non-elite university,38883
1294,elite university,59390
1295,elite university,114575
1296,elite university,53630
1297,elite university,85249
1298,elite university,86654
1299,non-elite university,47279
1300,non-elite university,64064
1301,elite university,76749
1302,non-elite university,58332
1303,non-elite university,62486
1304,non-elite university,69457
1305,elite university,69560
1306,elite university,73556
1307,non-elite university,119126
1308,elite university,86197
1309,non-elite university,117581
1310,elite university,132332
1311,non-elite university,82670
1312,non-elite university,52757
1313,non-elite university,145679
1314,non-elite university,48133
1315,elite university,53657
1316,elite university,47293
1317,elite university,56886
1318,elite university,47112
1319,elite university,57612
1320,non-elite university,66913
1321,non-elite university,32662
1322,non-elite university,108784
1323,elite university,68549
1324,non-elite university,74908
1325,non-elite university,44352
1326,non-elite university,44514
1327,non-elite university,56321
1328,elite university,40573
1329,non-elite university,56133
1330,elite university,82647
1331,elite university,131981
1332,non-elite university,47726
1333,elite university,87864
1334,non-elite university,98819
1335,elite university,73041
1336,elite university,68398
1337,elite university,79747
1338,non-elite university,43455
1339,elite university,89572
1340,elite university,67569
1341,elite university,67688
1342,elite university,138934
1343,non-elite university,31511
1344,non-elite university,62051
1345,elite university,100065
1346,elite university,54627
1347,elite university,132041
1348,non-elite university,88688
1349,elite university,73931
1350,elite university,85657
1351,non-elite university,47163
1352,non-elite university,81313
1353,elite university,47635
1354,elite university,65594
1355,non-elite university,105930
1356,non-elite university,64189
1357,non-elite university,63890
1358,elite university,76100
1359,non-elite university,40105
1360,elite university,31975
1361,elite university,44435
1362,elite university,65784
1363,non-elite university,59983
