individual_id,university_attended,income_elite_university,income_non_elite_university
116,non-elite university,92237,91237
117,non-elite university,79158,78158
118,elite university,78115,77115
119,elite university,48765,47765
120,elite university,63470,62470
121,elite university,121495,120495
122,elite university,79181,78181
123,non-elite university,44373,43373
124,elite university,52514,51514
125,non-elite university,71449,70449
126,elite university,86441,85441
127,elite university,50603,49603
128,elite university,97555,96555
129,non-elite university,62282,61282
130,elite university,65056,64056
131,elite university,63423,62423
132,elite university,64578,63578
133,elite university,82752,81752
134,non-elite university,38274,37274
135,elite university,65009,64009
136,elite university,72948,71948
137,non-elite university,43279,42279
138,elite university,64555,63555
139,non-elite university,58336,57336
140,non-elite university,60156,59156
141,non-elite university,33897,32897
142,elite university,95579,94579
143,non-elite university,92506,91506
144,non-elite university,32358,31358
145,elite university,81239,80239
146,non-elite university,43179,42179
147,elite university,58205,57205
148,elite university,57400,56400
149,non-elite university,51321,50321
150,non-elite university,57433,56433
151,non-elite university,33455,32455
152,non-elite university,40899,39899
153,elite university,44956,43956
154,elite university,58058,57058
155,non-elite university,31441,30441
156,non-elite university,55094,54094
157,elite university,93521,92521
158,elite university,39069,38069
159,elite university,79947,78947
160,elite university,94143,93143
161,elite university,78175,77175
162,elite university,71614,70614
163,non-elite university,61714,60714
164,non-elite university,89065,88065
165,non-elite university,84900,83900
166,non-elite university,38106,37106
167,elite university,81662,80662
168,elite university,33684,32684
169,elite university,51440,50440
170,elite university,87701,86701
171,elite university,70463,69463
172,elite university,54326,53326
173,elite university,80961,79961
174,elite university,72898,71898
175,elite university,69862,68862
176,elite university,82836,81836
177,elite university,46491,45491
178,non-elite university,59065,58065
179,elite university,118645,117645
180,non-elite university,158904,157904
181,elite university,34943,33943
182,elite university,56175,55175
183,elite university,79316,78316
184,elite university,93367,92367
185,non-elite university,44581,43581
186,elite university,97021,96021
187,elite university,52784,51784
188,elite university,80887,79887
189,elite university,41389,40389
190,non-elite university,45337,44337
191,non-elite university,57846,56846
192,elite university,65894,64894
193,non-elite university,130098,129098
194,elite university,76797,75797
195,elite university,78629,77629
196,elite university,51927,50927
197,elite university,58791,57791
198,elite university,50154,49154
199,elite university,94870,93870
200,elite university,47984,46984
201,elite university,65691,64691
202,non-elite university,76840,75840
203,elite university,40849,39849
204,non-elite university,95970,94970
205,non-elite university,54350,53350
206,non-elite university,64490,63490
207,elite university,41344,40344
208,non-elite university,52548,51548
209,elite university,128724,127724
210,non-elite university,64029,63029
211,elite university,118306,117306
212,non-elite university,49226,48226
213,elite university,67394,66394
214,non-elite university,98702,97702
215,non-elite university,67950,66950
216,non-elite university,40491,39491
217,elite university,41352,40352
218,elite university,48710,47710
219,non-elite university,89578,88578
220,non-elite university,52850,51850
221,non-elite university,40843,39843
222,non-elite university,56817,55817
223,elite university,62308,61308
224,elite university,78435,77435
225,non-elite university,111403,110403
226,non-elite university,69413,68413
227,elite university,102324,101324
228,non-elite university,49437,48437
229,elite university,47996,46996
230,elite university,66681,65681
231,non-elite university,61287,60287
232,non-elite university,91936,90936
233,non-elite university,73889,72889
234,non-elite university,45716,44716
235,elite university,48040,47040
236,non-elite university,33582,32582
237,elite university,158181,157181
238,elite university,47878,46878
239,elite university,44740,43740
240,non-elite university,64135,63135
241,elite university,73083,72083
242,non-elite university,49957,48957
243,non-elite university,117351,116351
244,elite university,99684,98684
245,non-elite university,52667,51667
246,elite university,42574,41574
247,elite university,120575,119575
248,non-elite university,51173,50173
249,elite university,63629,62629
250,elite university,53107,52107
251,elite university,54846,53846
252,elite university,143624,142624
253,elite university,104152,103152
254,elite university,83091,82091
255,elite university,83927,82927
256,non-elite university,47092,46092
257,non-elite university,94912,93912
258,non-elite university,68691,67691
259,elite university,105025,104025
260,non-elite university,71271,70271
261,elite university,87025,86025
262,non-elite university,129527,128527
263,elite university,45762,44762
264,non-elite university,41543,40543
265,elite university,62023,61023
266,non-elite university,98842,97842
267,elite university,129126,128126
268,non-elite university,91673,90673
269,elite university,89794,88794
270,non-elite university,48354,47354
271,elite university,86831,85831
272,elite university,40305,39305
273,non-elite university,53706,52706
274,non-elite university,61361,60361
275,non-elite university,25655,24655
276,non-elite university,54172,53172
277,non-elite university,85674,84674
278,elite university,52776,51776
279,non-elite university,30898,29898
280,non-elite university,51288,50288
281,elite university,32738,31738
282,non-elite university,65543,64543
283,elite university,112587,111587
284,non-elite university,32502,31502
285,non-elite university,175456,174456
286,elite university,27069,26069
287,non-elite university,96647,95647
288,elite university,31452,30452
289,elite university,87194,86194
290,non-elite university,82080,81080
291,elite university,119115,118115
292,non-elite university,48314,47314
293,non-elite university,86824,85824
294,non-elite university,46628,45628
295,elite university,38193,37193
296,elite university,98688,97688
297,non-elite university,51089,50089
298,non-elite university,52925,51925
299,elite university,66262,65262
300,elite university,133309,132309
301,elite university,117144,116144
302,elite university,43303,42303
303,elite university,99033,98033
304,non-elite university,40319,39319
305,non-elite university,66257,65257
306,non-elite university,34943,33943
307,elite university,56180,55180
308,non-elite university,50321,49321
309,elite university,57007,56007
310,non-elite university,73124,72124
311,elite university,43195,42195
312,elite university,79881,78881
313,elite university,30031,29031
314,elite university,56993,55993
315,elite university,100657,99657
316,non-elite university,73667,72667
317,elite university,98690,97690
318,elite university,41683,40683
319,non-elite university,53230,52230
320,non-elite university,44627,43627
321,elite university,56179,55179
322,non-elite university,62046,61046
323,elite university,83710,82710
324,non-elite university,38893,37893
325,non-elite university,68828,67828
326,non-elite university,48398,47398
327,non-elite university,58477,57477
328,non-elite university,46710,45710
329,non-elite university,48347,47347
330,non-elite university,48949,47949
331,elite university,51717,50717
332,elite university,73689,72689
333,non-elite university,40936,39936
334,non-elite university,61033,60033
335,non-elite university,43041,42041
336,elite university,85099,84099
337,elite university,39224,38224
338,elite university,51746,50746
339,elite university,96804,95804
340,elite university,94216,93216
341,elite university,77152,76152
342,elite university,66371,65371
343,non-elite university,92228,91228
344,non-elite university,45482,44482
345,elite university,86699,85699
346,elite university,86283,85283
347,non-elite university,72540,71540
348,non-elite university,109247,108247
349,elite university,49378,48378
350,elite university,42838,41838
351,non-elite university,45495,44495
352,elite university,67414,66414
353,elite university,86961,85961
354,elite university,64661,63661
355,elite university,59263,58263
356,non-elite university,49613,48613
357,non-elite university,48200,47200
358,non-elite university,107989,106989
359,non-elite university,36192,35192
360,non-elite university,71170,70170
361,elite university,57588,56588
362,non-elite university,49355,48355
363,non-elite university,70191,69191
364,non-elite university,77842,76842
365,elite university,50989,49989
366,non-elite university,49828,48828
367,non-elite university,97403,96403
368,elite university,64368,63368
369,elite university,56775,55775
370,non-elite university,121534,120534
371,elite university,88227,87227
372,non-elite university,63917,62917
373,non-elite university,84216,83216
374,non-elite university,55128,54128
375,elite university,78019,77019
376,non-elite university,28249,27249
377,non-elite university,41723,40723
378,non-elite university,100686,99686
379,elite university,51268,50268
380,non-elite university,64855,63855
381,non-elite university,94603,93603
382,non-elite university,49535,48535
383,non-elite university,43158,42158
384,non-elite university,94914,93914
385,non-elite university,70364,69364
386,elite university,91689,90689
387,non-elite university,74353,73353
388,elite university,80544,79544
389,elite university,79305,78305
390,elite university,75254,74254
391,elite university,66232,65232
392,non-elite university,74587,73587
393,elite university,123528,122528
394,non-elite university,48776,47776
395,elite university,45037,44037
396,non-elite university,72190,71190
397,non-elite university,105469,104469
398,elite university,57791,56791
399,elite university,73841,72841
400,elite university,37413,36413
401,elite university,45632,44632
402,non-elite university,50529,49529
403,non-elite university,76994,75994
404,elite university,94418,93418
405,elite university,43459,42459
406,elite university,101752,100752
407,non-elite university,54591,53591
408,elite university,54592,53592
409,non-elite university,72719,71719
410,elite university,75443,74443
411,non-elite university,40612,39612
412,non-elite university,49609,48609
413,non-elite university,50994,49994
414,elite university,67325,66325
415,elite university,72880,71880
416,non-elite university,63530,62530
417,elite university,56078,55078
418,elite university,56002,55002
419,non-elite university,76753,75753
420,elite university,54455,53455
421,elite university,78980,77980
422,non-elite university,102771,101771
423,non-elite university,84821,83821
424,non-elite university,88051,87051
425,non-elite university,63773,62773
426,elite university,61349,60349
427,elite university,66724,65724
428,elite university,65248,64248
429,non-elite university,71259,70259
430,elite university,64841,63841
431,non-elite university,128687,127687
432,non-elite university,52609,51609
433,elite university,98654,97654
434,non-elite university,32386,31386
435,elite university,58854,57854
436,elite university,97634,96634
437,non-elite university,78573,77573
438,elite university,74814,73814
439,elite university,54500,53500
440,elite university,54760,53760
441,elite university,56781,55781
442,non-elite university,66576,65576
443,elite university,65767,64767
444,elite university,56250,55250
445,elite university,118955,117955
446,elite university,59717,58717
447,non-elite university,38087,37087
448,non-elite university,81166,80166
449,elite university,63772,62772
450,non-elite university,37747,36747
451,elite university,56936,55936
452,elite university,89528,88528
453,elite university,89557,88557
454,elite university,60084,59084
455,non-elite university,61478,60478
456,elite university,33707,32707
457,non-elite university,51485,50485
458,elite university,60033,59033
459,elite university,34530,33530
460,elite university,83363,82363
461,non-elite university,71898,70898
462,elite university,80515,79515
463,elite university,57586,56586
464,elite university,47755,46755
465,non-elite university,34464,33464
466,elite university,98123,97123
467,elite university,90488,89488
468,non-elite university,116057,115057
469,elite university,71137,70137
470,non-elite university,43575,42575
471,elite university,104384,103384
472,non-elite university,43389,42389
473,non-elite university,71355,70355
474,elite university,33501,32501
475,non-elite university,79884,78884
476,non-elite university,81670,80670
477,elite university,87691,86691
478,elite university,57791,56791
479,non-elite university,45416,44416
480,elite university,93821,92821
481,non-elite university,44582,43582
482,elite university,66827,65827
483,non-elite university,66068,65068
484,elite university,79942,78942
485,elite university,112751,111751
486,non-elite university,76694,75694
487,non-elite university,81297,80297
488,non-elite university,23027,22027
489,elite university,81506,80506
490,elite university,50735,49735
491,non-elite university,33867,32867
492,non-elite university,54647,53647
493,non-elite university,56303,55303
494,non-elite university,124667,123667
495,non-elite university,66830,65830
496,elite university,116717,115717
497,non-elite university,33966,32966
498,elite university,29048,28048
499,elite university,94012,93012
500,non-elite university,57104,56104
501,non-elite university,36707,35707
502,non-elite university,87378,86378
503,non-elite university,89621,88621
504,elite university,45958,44958
505,elite university,54759,53759
506,non-elite university,131941,130941
507,elite university,56964,55964
508,elite university,79530,78530
509,elite university,153608,152608
510,non-elite university,59123,58123
511,elite university,65991,64991
512,elite university,99542,98542
513,elite university,154668,153668
514,elite university,54461,53461
515,elite university,43834,42834
516,elite university,51762,50762
517,non-elite university,93461,92461
518,elite university,38318,37318
519,elite university,86296,85296
520,elite university,90083,89083
521,elite university,60922,59922
522,non-elite university,74271,73271
523,elite university,52320,51320
524,elite university,57444,56444
525,elite university,30144,29144
526,elite university,63722,62722
527,elite university,34520,33520
528,elite university,64295,63295
529,non-elite university,46636,45636
530,elite university,84404,83404
531,non-elite university,40853,39853
532,elite university,54846,53846
533,non-elite university,62972,61972
534,elite university,53901,52901
535,non-elite university,54567,53567
536,non-elite university,42153,41153
537,non-elite university,78688,77688
538,elite university,45132,44132
539,non-elite university,98177,97177
540,elite university,68313,67313
541,elite university,96172,95172
542,non-elite university,59640,58640
543,elite university,60309,59309
544,non-elite university,44650,43650
545,non-elite university,52366,51366
546,elite university,59549,58549
547,elite university,70460,69460
548,elite university,68147,67147
549,elite university,41141,40141
550,elite university,52617,51617
551,non-elite university,72241,71241
552,non-elite university,72508,71508
553,non-elite university,85562,84562
554,elite university,65301,64301
555,elite university,55702,54702
556,elite university,81041,80041
557,elite university,69793,68793
558,non-elite university,31685,30685
559,non-elite university,64151,63151
560,elite university,41824,40824
561,elite university,69969,68969
562,non-elite university,68465,67465
563,elite university,57389,56389
564,non-elite university,70594,69594
565,non-elite university,55428,54428
566,elite university,113438,112438
567,elite university,58602,57602
568,elite university,93238,92238
569,elite university,63951,62951
570,elite university,90076,89076
571,non-elite university,64744,63744
572,non-elite university,70785,69785
573,elite university,86667,85667
574,elite university,108518,107518
575,non-elite university,84948,83948
576,non-elite university,48345,47345
577,non-elite university,77800,76800
578,elite university,48572,47572
579,elite university,49030,48030
580,elite university,57979,56979
581,non-elite university,61822,60822
582,elite university,61895,60895
583,non-elite university,52959,51959
584,non-elite university,101437,100437
585,non-elite university,74869,73869
586,non-elite university,44720,43720
587,elite university,95469,94469
588,elite university,79899,78899
589,non-elite university,103573,102573
590,elite university,76772,75772
591,elite university,125502,124502
592,non-elite university,45364,44364
593,non-elite university,53908,52908
594,elite university,49794,48794
595,non-elite university,45906,44906
596,non-elite university,61901,60901
597,elite university,61839,60839
598,elite university,123675,122675
599,non-elite university,81913,80913
600,non-elite university,71454,70454
601,elite university,78756,77756
602,elite university,84866,83866
603,non-elite university,35409,34409
604,elite university,63251,62251
605,elite university,94710,93710
606,elite university,55279,54279
607,elite university,63710,62710
608,elite university,79405,78405
609,elite university,38062,37062
610,elite university,72042,71042
611,non-elite university,64386,63386
612,non-elite university,64652,63652
613,non-elite university,42365,41365
614,non-elite university,73935,72935
615,non-elite university,64494,63494
616,non-elite university,58218,57218
617,non-elite university,44982,43982
618,elite university,72683,71683
619,non-elite university,121856,120856
620,elite university,70577,69577
621,elite university,70748,69748
622,non-elite university,54433,53433
623,non-elite university,29552,28552
624,elite university,36980,35980
625,elite university,53853,52853
626,elite university,35500,34500
627,non-elite university,35461,34461
628,non-elite university,51652,50652
629,non-elite university,113936,112936
630,non-elite university,65615,64615
631,non-elite university,46348,45348
632,elite university,52137,51137
633,non-elite university,142639,141639
634,elite university,61882,60882
635,elite university,90489,89489
636,non-elite university,61102,60102
637,non-elite university,56972,55972
638,non-elite university,141973,140973
639,non-elite university,65850,64850
640,elite university,82485,81485
641,elite university,66914,65914
642,elite university,47497,46497
643,non-elite university,62133,61133
644,elite university,169445,168445
645,non-elite university,42304,41304
646,non-elite university,56386,55386
647,elite university,86965,85965
648,elite university,135514,134514
649,non-elite university,60527,59527
650,non-elite university,69819,68819
651,non-elite university,79722,78722
652,non-elite university,84104,83104
653,elite university,50259,49259
654,elite university,63491,62491
655,elite university,43176,42176
656,elite university,31956,30956
657,non-elite university,64899,63899
658,elite university,84757,83757
659,elite university,64739,63739
660,elite university,116804,115804
661,non-elite university,71019,70019
662,elite university,45847,44847
663,elite university,66929,65929
664,elite university,85478,84478
665,non-elite university,43567,42567
666,non-elite university,56476,55476
667,elite university,54168,53168
668,non-elite university,71419,70419
669,elite university,82259,81259
670,elite university,80503,79503
671,elite university,85321,84321
672,non-elite university,41756,40756
673,elite university,98680,97680
674,non-elite university,28802,27802
675,non-elite university,38687,37687
676,elite university,55216,54216
677,non-elite university,57824,56824
678,elite university,45654,44654
679,non-elite university,49508,48508
680,non-elite university,55832,54832
681,elite university,47875,46875
682,elite university,39207,38207
683,elite university,85638,84638
684,non-elite university,61846,60846
685,non-elite university,76702,75702
686,non-elite university,53406,52406
687,elite university,89450,88450
688,elite university,121785,120785
689,non-elite university,71549,70549
690,elite university,74028,73028
691,elite university,38377,37377
692,elite university,79684,78684
693,elite university,36941,35941
694,non-elite university,56227,55227
695,non-elite university,69783,68783
696,elite university,66858,65858
697,elite university,80147,79147
698,elite university,83462,82462
699,elite university,51283,50283
700,non-elite university,41360,40360
701,non-elite university,44937,43937
702,non-elite university,41884,40884
703,non-elite university,105319,104319
704,non-elite university,76643,75643
705,non-elite university,50481,49481
706,non-elite university,125724,124724
707,elite university,67261,66261
708,non-elite university,61162,60162
709,non-elite university,99867,98867
710,non-elite university,61724,60724
711,elite university,93853,92853
712,elite university,60163,59163
713,non-elite university,114755,113755
714,non-elite university,101627,100627
715,non-elite university,64721,63721
716,elite university,93163,92163
717,elite university,52043,51043
718,non-elite university,75347,74347
719,non-elite university,49768,48768
720,non-elite university,44215,43215
721,elite university,89928,88928
722,elite university,90607,89607
723,elite university,83356,82356
724,non-elite university,75557,74557
725,non-elite university,71500,70500
726,elite university,68303,67303
727,non-elite university,36633,35633
728,elite university,59505,58505
729,non-elite university,52743,51743
730,elite university,58665,57665
731,elite university,59592,58592
732,non-elite university,54388,53388
733,elite university,97398,96398
734,elite university,116274,115274
735,non-elite university,47129,46129
736,non-elite university,62072,61072
737,non-elite university,106027,105027
738,elite university,82130,81130
739,non-elite university,52832,51832
740,elite university,64409,63409
741,elite university,67181,66181
742,non-elite university,46512,45512
743,elite university,64091,63091
744,elite university,71916,70916
745,elite university,79965,78965
746,elite university,81788,80788
747,non-elite university,57199,56199
748,non-elite university,62900,61900
749,non-elite university,84624,83624
750,non-elite university,73118,72118
751,non-elite university,54113,53113
752,elite university,111791,110791
753,non-elite university,64734,63734
754,non-elite university,65427,64427
755,elite university,97570,96570
756,elite university,151721,150721
757,non-elite university,60379,59379
758,non-elite university,74646,73646
759,elite university,58118,57118
760,non-elite university,62499,61499
761,non-elite university,25669,24669
762,elite university,94359,93359
763,non-elite university,50644,49644
764,non-elite university,61685,60685
765,elite university,74005,73005
766,elite university,90420,89420
767,elite university,53616,52616
768,non-elite university,39676,38676
769,non-elite university,50724,49724
770,non-elite university,77372,76372
771,non-elite university,72294,71294
772,elite university,54426,53426
773,elite university,85031,84031
774,elite university,80684,79684
775,elite university,34079,33079
776,elite university,82473,81473
777,non-elite university,70070,69070
778,non-elite university,47216,46216
779,elite university,63777,62777
780,non-elite university,71896,70896
781,elite university,76772,75772
782,non-elite university,44512,43512
783,elite university,52535,51535
784,non-elite university,72001,71001
785,non-elite university,53389,52389
786,non-elite university,104804,103804
787,elite university,64792,63792
788,elite university,117845,116845
789,elite university,53582,52582
790,elite university,73426,72426
791,non-elite university,34825,33825
792,non-elite university,37882,36882
793,non-elite university,27415,26415
794,elite university,103078,102078
795,elite university,74905,73905
796,non-elite university,52085,51085
797,elite university,59525,58525
798,elite university,73176,72176
799,elite university,62867,61867
800,elite university,64768,63768
801,non-elite university,82353,81353
802,non-elite university,62667,61667
803,non-elite university,112321,111321
804,non-elite university,53499,52499
805,elite university,64094,63094
806,non-elite university,58762,57762
807,elite university,123497,122497
808,elite university,72626,71626
809,non-elite university,75547,74547
810,non-elite university,42817,41817
811,non-elite university,40360,39360
812,non-elite university,53844,52844
813,non-elite university,86640,85640
814,non-elite university,59049,58049
815,non-elite university,114787,113787
816,non-elite university,59854,58854
817,elite university,100184,99184
818,elite university,122875,121875
819,elite university,37176,36176
820,elite university,86237,85237
821,elite university,149673,148673
822,elite university,96385,95385
823,elite university,40277,39277
824,non-elite university,54494,53494
825,non-elite university,52315,51315
826,elite university,97580,96580
827,non-elite university,62274,61274
828,elite university,41420,40420
829,elite university,50588,49588
830,elite university,56291,55291
831,elite university,76542,75542
832,elite university,64931,63931
833,elite university,41867,40867
834,non-elite university,60919,59919
835,non-elite university,36629,35629
836,elite university,50481,49481
837,non-elite university,38028,37028
838,elite university,78621,77621
839,non-elite university,117867,116867
840,elite university,124751,123751
841,non-elite university,29548,28548
842,elite university,62452,61452
843,elite university,94778,93778
844,non-elite university,58660,57660
845,elite university,61625,60625
846,non-elite university,99109,98109
847,non-elite university,72070,71070
848,elite university,112352,111352
849,elite university,54283,53283
850,non-elite university,81663,80663
851,elite university,95300,94300
852,non-elite university,77711,76711
853,elite university,49745,48745
854,non-elite university,49288,48288
855,elite university,86797,85797
856,non-elite university,60481,59481
857,non-elite university,35659,34659
858,non-elite university,49295,48295
859,elite university,66587,65587
860,elite university,81238,80238
861,non-elite university,71768,70768
862,non-elite university,51107,50107
863,elite university,80670,79670
864,non-elite university,64929,63929
865,elite university,63840,62840
866,elite university,65755,64755
867,non-elite university,68395,67395
868,non-elite university,65591,64591
869,elite university,82740,81740
870,non-elite university,39318,38318
871,non-elite university,80766,79766
872,elite university,92258,91258
873,elite university,58127,57127
874,non-elite university,53912,52912
875,elite university,67127,66127
876,elite university,59159,58159
877,non-elite university,40675,39675
878,non-elite university,58163,57163
879,elite university,114105,113105
880,non-elite university,47840,46840
881,elite university,61598,60598
882,non-elite university,112654,111654
883,non-elite university,58906,57906
884,elite university,78359,77359
885,non-elite university,61356,60356
886,elite university,47885,46885
887,elite university,76022,75022
888,elite university,40125,39125
889,elite university,47276,46276
890,elite university,54139,53139
891,non-elite university,84215,83215
892,elite university,159780,158780
893,non-elite university,42116,41116
894,elite university,48784,47784
895,elite university,66845,65845
896,elite university,91803,90803
897,elite university,35818,34818
898,elite university,81268,80268
899,elite university,90120,89120
900,non-elite university,37802,36802
901,non-elite university,83322,82322
902,elite university,73199,72199
903,elite university,68429,67429
904,elite university,101804,100804
905,elite university,47807,46807
906,non-elite university,64997,63997
907,elite university,64848,63848
908,elite university,90572,89572
909,non-elite university,77095,76095
910,non-elite university,101802,100802
911,non-elite university,39268,38268
912,non-elite university,51317,50317
913,non-elite university,50340,49340
914,elite university,42380,41380
915,elite university,47512,46512
916,non-elite university,75869,74869
917,elite university,49131,48131
918,elite university,90650,89650
919,non-elite university,58130,57130
920,non-elite university,78879,77879
921,non-elite university,66087,65087
922,non-elite university,52339,51339
923,non-elite university,38071,37071
924,non-elite university,39755,38755
925,non-elite university,59614,58614
926,non-elite university,86292,85292
927,elite university,89921,88921
928,elite university,41740,40740
929,non-elite university,79794,78794
930,non-elite university,96241,95241
931,elite university,56326,55326
932,non-elite university,92718,91718
933,non-elite university,93635,92635
934,elite university,122389,121389
935,elite university,48721,47721
936,elite university,57197,56197
937,non-elite university,66448,65448
938,non-elite university,97398,96398
939,non-elite university,56515,55515
940,elite university,81114,80114
941,elite university,39962,38962
942,non-elite university,66881,65881
943,non-elite university,84658,83658
944,elite university,95220,94220
945,non-elite university,77738,76738
946,non-elite university,50110,49110
947,elite university,71656,70656
948,non-elite university,37567,36567
949,non-elite university,50060,49060
950,non-elite university,46427,45427
951,non-elite university,70013,69013
952,elite university,64804,63804
953,non-elite university,54465,53465
954,elite university,141392,140392
955,non-elite university,57260,56260
956,elite university,87366,86366
957,non-elite university,174975,173975
958,non-elite university,59997,58997
959,elite university,48120,47120
960,elite university,75411,74411
961,elite university,45925,44925
962,non-elite university,56746,55746
963,non-elite university,61221,60221
964,elite university,129558,128558
965,elite university,96671,95671
966,elite university,40133,39133
967,non-elite university,59801,58801
968,non-elite university,80264,79264
969,non-elite university,94989,93989
970,non-elite university,37960,36960
971,non-elite university,38493,37493
972,elite university,56589,55589
973,non-elite university,40520,39520
974,non-elite university,69784,68784
975,non-elite university,68311,67311
976,elite university,128192,127192
977,non-elite university,34132,33132
978,elite university,95738,94738
979,elite university,58010,57010
980,elite university,104926,103926
981,elite university,39906,38906
982,non-elite university,51706,50706
983,elite university,63663,62663
984,elite university,46425,45425
985,elite university,61167,60167
986,elite university,90720,89720
987,non-elite university,85082,84082
988,non-elite university,53657,52657
989,non-elite university,74408,73408
990,elite university,33573,32573
991,elite university,91802,90802
992,elite university,52878,51878
993,non-elite university,72296,71296
994,elite university,39290,38290
995,non-elite university,32546,31546
996,non-elite university,72186,71186
997,non-elite university,119750,118750
998,non-elite university,73924,72924
999,elite university,55423,54423
1000,elite university,64688,63688
1001,non-elite university,95274,94274
1002,non-elite university,60353,59353
1003,elite university,81509,80509
1004,non-elite university,50697,49697
1005,non-elite university,146260,145260
1006,elite university,42453,41453
1007,elite university,99105,98105
1008,non-elite university,56336,55336
1009,non-elite university,50991,49991
1010,elite university,78128,77128
1011,elite university,99422,98422
1012,non-elite university,83034,82034
1013,non-elite university,116976,115976
1014,non-elite university,67530,66530
1015,non-elite university,118573,117573
1016,non-elite university,74387,73387
1017,elite university,41507,40507
1018,elite university,50406,49406
1019,non-elite university,78318,77318
1020,non-elite university,90471,89471
1021,elite university,111198,110198
1022,non-elite university,96622,95622
1023,elite university,140284,139284
1024,non-elite university,81703,80703
1025,non-elite university,57714,56714
1026,non-elite university,57490,56490
1027,elite university,69435,68435
1028,non-elite university,64439,63439
1029,non-elite university,96017,95017
1030,elite university,88141,87141
1031,non-elite university,37722,36722
1032,non-elite university,21972,20972
1033,elite university,51429,50429
1034,elite university,78007,77007
1035,elite university,72288,71288
1036,elite university,63656,62656
1037,elite university,104830,103830
1038,elite university,150813,149813
1039,non-elite university,50106,49106
1040,elite university,97222,96222
1041,non-elite university,55692,54692
1042,elite university,62934,61934
1043,elite university,83466,82466
1044,non-elite university,92203,91203
1045,elite university,66434,65434
1046,non-elite university,45121,44121
1047,non-elite university,101620,100620
1048,non-elite university,89254,88254
1049,non-elite university,69219,68219
1050,elite university,134383,133383
1051,elite university,38394,37394
1052,elite university,54110,53110
1053,elite university,73377,72377
1054,elite university,72301,71301
1055,elite university,65172,64172
1056,elite university,44920,43920
1057,non-elite university,57412,56412
1058,elite university,86177,85177
1059,elite university,63585,62585
1060,non-elite university,66372,65372
1061,non-elite university,44428,43428
1062,non-elite university,63610,62610
1063,non-elite university,51693,50693
1064,non-elite university,52438,51438
1065,elite university,46660,45660
1066,non-elite university,75279,74279
1067,non-elite university,69021,68021
1068,elite university,59009,58009
1069,non-elite university,58272,57272
1070,elite university,57349,56349
